+---------------+------------------+-------------+
|    Movie_Genre|    Average_Rating|Num_of_movies|
+---------------+------------------+-------------+
|         Action|3.1585329294510704|         1175|
|      Adventure|3.1687090625255827|          707|
|      Animation|3.1758854560200165|          223|
|         Comedy| 3.137508814415478|         2111|
|          Crime| 3.163079152393387|          905|
|    Documentary|3.0728525756403315|          502|
|          Drama| 3.139602776165751|         3721|
|         Family|3.1569054919202837|          386|
|        Fantasy|3.1429135219007036|          463|
|        Foreign|3.1139858344079148|          271|
|        History|3.1187910458495427|          306|
|         Horror| 3.134020262392475|          723|
|          Music| 3.189047782134765|          248|
|        Mystery|3.1487693926555473|          475|
|        Romance|3.1559472948670733|         1205|
|Science Fiction| 3.157163683913988|          593|
|       TV Movie| 3.148118069220997|           87|
|       Thriller|    3.148576179568|         1425|
|            War|3.1146633826061407|          231|
|        Western|3.2140607181871013|          185|
+---------------+------------------+-------------+

