+---------------+------------------+-------------+
|    Movie_Genre|    Average_Rating|Num_of_movies|
+---------------+------------------+-------------+
|         Action| 3.158532929451069|         1175|
|      Adventure|  3.16870906252558|          707|
|      Animation| 3.175885456020015|          223|
|         Comedy|3.1375088144154786|         2111|
|          Crime|3.1630791523933888|          905|
|    Documentary|3.0728525756403307|          502|
|          Drama|  3.13960277616575|         3721|
|         Family| 3.156905491920283|          386|
|        Fantasy|3.1429135219007005|          463|
|        Foreign| 3.113985834407914|          271|
|        History|3.1187910458495423|          306|
|         Horror|3.1340202623924744|          723|
|          Music| 3.189047782134767|          248|
|        Mystery|3.1487693926555482|          475|
|        Romance|3.1559472948670737|         1205|
|Science Fiction| 3.157163683913986|          593|
|       TV Movie| 3.148118069220998|           87|
|       Thriller|3.1485761795680007|         1425|
|            War|3.1146633826061416|          231|
|        Western|3.2140607181871017|          185|
+---------------+------------------+-------------+

